,date,pce,pop,psavert,uempmed,unemploy
1,6/30/67,507.8,198712,9.8,4.5,2944
2,7/31/67,510.9,198911,9.8,4.7,2945
3,8/31/67,516.7,199113,9,4.6,2958
4,9/30/67,513.3,199311,9.8,4.9,3143
5,10/31/67,518.5,199498,9.7,4.7,3066
6,11/30/67,526.2,199657,9.4,4.8,3018
7,12/31/67,532,199808,9,5.1,2878
8,1/31/68,534.7,199920,9.5,4.5,3001
9,2/29/68,545.4,200056,8.9,4.1,2877
10,3/31/68,545.1,200208,9.6,4.6,2709
11,4/30/68,550.9,200361,9.3,4.4,2740
12,5/31/68,557.4,200536,8.9,4.4,2938
13,6/30/68,564.4,200706,7.8,4.5,2883
14,7/31/68,568.2,200898,7.6,4.2,2768
15,8/31/68,569.5,201095,7.6,4.6,2686
16,9/30/68,572.9,201290,7.8,4.8,2689
17,10/31/68,578,201466,7.6,4.4,2715
18,11/30/68,577.9,201621,8.1,4.4,2685
19,12/31/68,584.9,201760,7.1,4.4,2718
20,1/31/69,590.2,201881,6.5,4.9,2692
21,2/28/69,590.4,202023,7,4,2712
22,3/31/69,595.4,202161,6.6,4,2758
23,4/30/69,601.8,202331,7,4.2,2713
24,5/31/69,602.4,202507,7.9,4.4,2816
25,6/30/69,604.3,202677,8.7,4.4,2868
26,7/31/69,611.5,202877,8.5,4.4,2856
27,8/31/69,614.9,203090,8.5,4.7,3040
28,9/30/69,620.2,203302,8.3,4.5,3049
29,10/31/69,622.1,203500,8.5,4.8,2856
30,11/30/69,624.4,203675,8.6,4.6,2884
31,12/31/69,630.4,203849,8.3,4.6,3201
32,1/31/70,635.7,204008,8.1,4.5,3453
33,2/28/70,634,204156,8.8,4.6,3635
34,3/31/70,637.7,204401,10.5,4.1,3797
35,4/30/70,644.1,204607,9.4,4.7,3919
36,5/31/70,648,204830,8.7,4.9,4071
37,6/30/70,650.2,205052,10,5.1,4175
38,7/31/70,654.7,205295,10,5.4,4256
39,8/31/70,660.9,205540,9.8,5.2,4456
40,9/30/70,660.1,205788,9.8,5.2,4591
41,10/31/70,658.4,206024,10.1,5.6,4898
42,11/30/70,667.4,206238,9.7,5.9,5076
43,12/31/70,678,206466,10,6.2,4986
44,1/31/71,681.3,206668,9.9,6.3,4903
45,2/28/71,683.9,206855,10.2,6.4,4987
46,3/31/71,690.6,207065,9.9,6.5,4959
47,4/30/71,693,207260,10.2,6.7,4996
48,5/31/71,701.7,207462,11.4,5.7,4949
49,6/30/71,700.8,207661,10.4,6.2,5035
50,7/31/71,706.8,207881,10.3,6.4,5134
51,8/31/71,715,208114,9.7,5.8,5042
52,9/30/71,717.8,208345,9.6,6.5,4954
53,10/31/71,723,208555,9.5,6.4,5161
54,11/30/71,730.5,208740,9.5,6.2,5154
55,12/31/71,733.7,208917,9.1,6.2,5019
56,1/31/72,738.4,209061,9.4,6.6,4928
57,2/29/72,751.5,209212,8.2,6.6,5038
58,3/31/72,754.9,209386,8.3,6.7,4959
59,4/30/72,760.4,209545,8.5,6.6,4922
60,5/31/72,764,209725,7.2,5.4,4923
61,6/30/72,772.4,209896,8.2,6.1,4913
62,7/31/72,778.9,210075,8.6,6,4939
63,8/31/72,783.7,210278,8.8,5.6,4849
64,9/30/72,797.5,210479,9.5,5.7,4875
65,10/31/72,803.1,210656,10.2,5.7,4602
66,11/30/72,808.8,210821,10.3,6.1,4543
67,12/31/72,819.1,210985,9.1,5.7,4326
68,1/31/73,828.5,211120,9.5,5.2,4452
69,2/28/73,835.5,211254,9.7,5.5,4394
70,3/31/73,838.5,211420,10,5,4459
71,4/30/73,844.3,211577,10.2,4.9,4329
72,5/31/73,847.1,211746,10.7,5,4363
73,6/30/73,857,211909,10.2,5.2,4305
74,7/31/73,856.1,212092,11,4.9,4305
75,8/31/73,872.2,212289,10.2,5.4,4350
76,9/30/73,871.2,212475,11.5,5.5,4144
77,10/31/73,879.9,212634,11.6,5.1,4396
78,11/30/73,879.7,212785,12,4.7,4489
79,12/31/73,887.7,212932,11.6,5,4644
80,1/31/74,892.9,213074,11.4,5.1,4731
81,2/28/74,904.7,213211,10.6,4.8,4634
82,3/31/74,914.1,213361,10.2,5,4618
83,4/30/74,925.7,213513,10,4.6,4705
84,5/31/74,931.3,213686,10.2,5.3,4927
85,6/30/74,941.2,213854,10.6,5.7,5063
86,7/31/74,958,214042,9.5,5,5022
87,8/31/74,958.3,214246,10.2,5.3,5437
88,9/30/74,962.5,214451,10.7,5.5,5523
89,10/31/74,959.5,214625,11.1,5.2,6140
90,11/30/74,965.1,214782,11.1,5.7,6636
91,12/31/74,978.9,214931,10.3,6.3,7501
92,1/31/75,992.8,215065,9.5,7.1,7520
93,2/28/75,994.1,215198,9.7,7.2,7978
94,3/31/75,998.8,215353,11.3,8.7,8210
95,4/30/75,1022.8,215523,14.6,9.4,8433
96,5/31/75,1030.7,215768,11.4,8.8,8220
97,6/30/75,1043.8,215973,9.7,8.6,8127
98,7/31/75,1051,216195,10.1,9.2,7928
99,8/31/75,1058.9,216393,10.2,9.2,7923
100,9/30/75,1064.8,216587,10.7,8.6,7897
101,10/31/75,1079.7,216771,10,9.5,7794
102,11/30/75,1096,216931,9.3,9,7744
103,12/31/75,1111.2,217095,9.2,9,7534
104,1/31/76,1111.8,217249,9.9,8.2,7326
105,2/29/76,1119,217381,9.8,8.7,7230
106,3/31/76,1129.6,217528,9.4,8.2,7330
107,4/30/76,1126.8,217685,10.1,8.3,7053
108,5/31/76,1144.7,217861,9.2,7.8,7322
109,6/30/76,1153.8,218035,9.5,7.7,7490
110,7/31/76,1162.3,218233,9.6,7.9,7518
111,8/31/76,1173.2,218440,9.3,7.8,7380
112,9/30/76,1181.2,218644,9,7.7,7430
113,10/31/76,1193.5,218834,9.4,8.4,7620
114,11/30/76,1216,219006,8.4,8,7545
115,12/31/76,1219.3,219179,8.5,7.5,7280
116,1/31/77,1235.6,219344,7.1,7.2,7443
117,2/28/77,1242.6,219504,8.4,7.2,7307
118,3/31/77,1251.6,219684,8.4,7.3,7059
119,4/30/77,1261.5,219859,8.3,7.9,6911
120,5/31/77,1268.2,220046,8.7,6.2,7134
121,6/30/77,1285.2,220239,8.6,7.1,6829
122,7/31/77,1290.4,220458,9,7,6925
123,8/31/77,1299.4,220688,9.3,6.7,6751
124,9/30/77,1316.3,220904,9.4,6.9,6763
125,10/31/77,1332,221109,9.4,7,6815
126,11/30/77,1341.3,221303,9.4,6.8,6386
127,12/31/77,1335.2,221477,9.9,6.5,6489
128,1/31/78,1361,221629,9.1,6.7,6318
129,2/28/78,1383.6,221792,9.1,6.2,6337
130,3/31/78,1402.5,221991,8.9,6.1,6180
131,4/30/78,1418.2,222176,8.5,5.7,6127
132,5/31/78,1432.1,222379,8.1,6,6028
133,6/30/78,1433.2,222585,9.1,5.8,6309
134,7/31/78,1453.4,222805,8.5,5.8,6080
135,8/31/78,1459.4,223053,8.8,5.6,6125
136,9/30/78,1473.5,223271,8.9,5.9,5947
137,10/31/78,1487.1,223477,8.8,5.5,6077
138,11/30/78,1503,223670,8.7,5.6,6228
139,12/31/78,1508.9,223865,9.4,5.9,6109
140,1/31/79,1524.4,224053,9.3,5.9,6173
141,2/28/79,1537.7,224235,9.5,5.9,6109
142,3/31/79,1545.1,224438,9.2,5.4,6069
143,4/30/79,1565.5,224632,8.8,5.6,5840
144,5/31/79,1582.3,224843,8.4,5.6,5959
145,6/30/79,1592.6,225055,9.1,5.9,5996
146,7/31/79,1622.3,225295,8.3,4.8,6320
147,8/31/79,1640.8,225547,7.9,5.5,6190
148,9/30/79,1648.7,225801,8.7,5.5,6296
149,10/31/79,1664.5,226027,8.8,5.3,6238
150,11/30/79,1673.5,226243,9.3,5.7,6325
151,12/31/79,1704.1,226451,9.3,5.3,6683
152,1/31/80,1708.2,226656,9.6,5.8,6702
153,2/29/80,1714.9,226849,9.7,6,6729
154,3/31/80,1701.8,227061,10.1,5.8,7358
155,4/30/80,1706.6,227251,10,5.7,7984
156,5/31/80,1725.3,227522,9.7,6.4,8098
157,6/30/80,1753.6,227726,9.8,7,8363
158,7/31/80,1770.1,227953,9.8,7.5,8281
159,8/31/80,1786.6,228186,10.3,7.7,8021
160,9/30/80,1823,228417,10.4,7.5,8088
