,time,presidents,
1,1945,NA,
2,1945.25,87,1945
3,1945.5,82,1945
4,1945.75,75,1945
5,1946,63,1946
6,1946.25,50,1946
7,1946.5,43,1946
8,1946.75,32,1946
9,1947,35,1947
10,1947.25,60,1947
11,1947.5,54,1947
12,1947.75,55,1947
13,1948,36,1948
14,1948.25,39,1948
15,1948.5,NA,1948
16,1948.75,NA,1948
17,1949,69,1949
18,1949.25,57,1949
19,1949.5,57,1949
20,1949.75,51,1949
21,1950,45,1950
22,1950.25,37,1950
23,1950.5,46,1950
24,1950.75,39,1950
25,1951,36,1951
26,1951.25,24,1951
27,1951.5,32,1951
28,1951.75,23,1951
29,1952,25,1952
30,1952.25,32,1952
31,1952.5,NA,1952
32,1952.75,32,1952
33,1953,59,1953
34,1953.25,74,1953
35,1953.5,75,1953
36,1953.75,60,1953
37,1954,71,1954
38,1954.25,61,1954
39,1954.5,71,1954
40,1954.75,57,1954
41,1955,71,1955
42,1955.25,68,1955
43,1955.5,79,1955
44,1955.75,73,1955
45,1956,76,1956
46,1956.25,71,1956
47,1956.5,67,1956
48,1956.75,75,1956
49,1957,79,1957
50,1957.25,62,1957
51,1957.5,63,1957
52,1957.75,57,1957
53,1958,60,1958
54,1958.25,49,1958
55,1958.5,48,1958
56,1958.75,52,1958
57,1959,57,1959
58,1959.25,62,1959
59,1959.5,61,1959
60,1959.75,66,1959
61,1960,71,1960
62,1960.25,62,1960
63,1960.5,61,1960
64,1960.75,57,1960
65,1961,72,1961
66,1961.25,83,1961
67,1961.5,71,1961
68,1961.75,78,1961
69,1962,79,1962
70,1962.25,71,1962
71,1962.5,62,1962
72,1962.75,74,1962
73,1963,76,1963
74,1963.25,64,1963
75,1963.5,62,1963
76,1963.75,57,1963
77,1964,80,1964
78,1964.25,73,1964
79,1964.5,69,1964
80,1964.75,69,1964
81,1965,71,1965
82,1965.25,64,1965
83,1965.5,69,1965
84,1965.75,62,1965
85,1966,63,1966
86,1966.25,46,1966
87,1966.5,56,1966
88,1966.75,44,1966
89,1967,44,1967
90,1967.25,52,1967
91,1967.5,38,1967
92,1967.75,46,1967
93,1968,36,1968
94,1968.25,49,1968
95,1968.5,35,1968
96,1968.75,44,1968
97,1969,59,1969
98,1969.25,65,1969
99,1969.5,65,1969
100,1969.75,56,1969
101,1970,66,1970
102,1970.25,53,1970
103,1970.5,61,1970
104,1970.75,52,1970
105,1971,51,1971
106,1971.25,48,1971
107,1971.5,54,1971
108,1971.75,49,1971
109,1972,49,1972
110,1972.25,61,1972
111,1972.5,NA,1972
112,1972.75,NA,1972
113,1973,68,1973
114,1973.25,44,1973
115,1973.5,40,1973
116,1973.75,27,1973
117,1974,28,1974
118,1974.25,25,1974
119,1974.5,24,1974
120,1974.75,24,1974
